Id,SalePrice
1461,120463.75
1462,215738.97
1463,179781.0
1464,189929.56
1465,212962.66
1466,181126.44
1467,169421.86
1468,163855.8
1469,183611.86
1470,134650.14
1471,169705.62
1472,89573.85
1473,101427.305
1474,159215.44
1475,169846.33
1476,354390.44
1477,259716.69
1478,260661.36
1479,309106.72
1480,477873.75
1481,308157.7
1482,192280.9
1483,173074.53
1484,166519.36
1485,186409.36
1486,205206.06
1487,337820.66
1488,218085.19
1489,212729.88
1490,249129.47
1491,187274.94
1492,99589.445
1493,181860.56
1494,359302.88
1495,288345.75
1496,253958.95
1497,197800.12
1498,197654.42
1499,187699.06
1500,179869.16
1501,198115.23
1502,172065.72
1503,383927.22
1504,242416.8
1505,225505.16
1506,204237.86
1507,283660.06
1508,186458.81
1509,162691.08
1510,149594.9
1511,140999.78
1512,163606.78
1513,133356.16
1514,146703.44
1515,170296.02
1516,136734.22
1517,168539.19
1518,133152.78
1519,216312.42
1520,134671.69
1521,139478.5
1522,176498.67
1523,115421.37
1524,126896.15
1525,121538.68
1526,102834.664
1527,100726.04
1528,135153.23
1529,150552.47
1530,185565.03
1531,124228.75
1532,99179.586
1533,155232.61
1534,111372.875
1535,133571.16
1536,116568.23
1537,83706.28
1538,133295.12
1539,221756.89
1540,113862.76
1541,129239.6
1542,145015.84
1543,159904.16
1544,108045.92
1545,97232.664
1546,123987.98
1547,133523.19
1548,138023.06
1549,93173.88
1550,144539.86
1551,107553.9
1552,162248.28
1553,143514.8
1554,123547.14
1555,150228.78
1556,823461.1
1557,118088.266
1558,91509.875
1559,134840.19
1560,132102.23
1561,160517.22
1562,139829.12
1563,118342.984
1564,153483.5
1565,133641.31
1566,225558.27
1567,87479.3
1568,200162.92
1569,144479.66
1570,132091.88
1571,103947.48
1572,139067.34
1573,238756.28
1574,114821.05
1575,227007.2
1576,233754.8
1577,181504.75
1578,127918.62
1579,159890.12
1580,192507.61
1581,157133.31
1582,117114.13
1583,316421.6
1584,220704.34
1585,137099.56
1586,107543.555
1587,131975.38
1588,131768.8
1589,103393.15
1590,141406.31
1591,99328.836
