Id,SalePrice
1461,120677.68
1462,158478.61
1463,184193.2
1464,196550.45
1465,214782.89
1466,172781.92
1467,176724.58
1468,161548.02
1469,193724.67
1470,127688.195
1471,156197.42
1472,104917.58
1473,99222.38
1474,148684.89
1475,97718.22
1476,345571.34
1477,261478.27
1478,323617.34
1479,325240.12
1480,429082.9
1481,323549.62
1482,220562.33
1483,171734.95
1484,164645.36
1485,191273.61
1486,195153.53
1487,336689.12
1488,236483.84
1489,198807.7
1490,244136.81
1491,204094.81
1492,89523.65
1493,201442.1
1494,303025.1
1495,290755.5
1496,229986.3
1497,172403.58
1498,191534.94
1499,168631.23
1500,168797.98
1501,194991.27
1502,147655.52
1503,282605.5
1504,243325.8
1505,227919.97
1506,184484.55
1507,243338.98
1508,194592.03
1509,157618.14
1510,151987.6
1511,161196.56
1512,169882.98
1513,149592.55
1514,159540.42
1515,180171.45
1516,155206.92
1517,180871.7
1518,126074.53
1519,219118.8
1520,127710.34
1521,129831.85
1522,178904.77
1523,114041.49
1524,114165.25
1525,112935.82
1526,105961.086
1527,109696.25
1528,130895.51
1529,163357.27
1530,212360.66
1531,143275.33
1532,97328.85
1533,134432.86
1534,126271.26
1535,142162.66
1536,105824.82
1537,53632.996
1538,147546.38
1539,170936.03
1540,99587.9
1541,142200.39
1542,156802.73
1543,176436.27
1544,86501.03
1545,114721.8
1546,146269.89
1547,143091.7
1548,140563.7
1549,122706.38
1550,147356.05
1551,103389.16
1552,153806.06
1553,155015.14
1554,114150.62
1555,166478.58
1556,105799.63
1557,105550.58
1558,100493.766
1559,92210.21
1560,128880.93
1561,131137.06
1562,137611.08
1563,128664.13
1564,152232.52
1565,160014.7
1566,233819.89
1567,80894.93
1568,247710.39
1569,152074.86
1570,142940.77
1571,103667.52
1572,144569.36
1573,256354.69
1574,133425.55
1575,233780.23
1576,244843.5
1577,187551.8
1578,149909.98
1579,137297.92
1580,197527.89
1581,178157.02
1582,136779.48
1583,278344.1
1584,226769.08
1585,144531.06
1586,80201.97
1587,110126.46
1588,167475.06
1589,105432.73
1590,129643.01
1591,91358.79
1592,139899.39
1593,133604.27
1594,142020.64
1595,112982.27
1596,229492.86
1597,202564.55
1598,207747.17
1599,167080.86
1600,155813.45
1601,61927.992
1602,126974.98
1603,88628.93
1604,272734.5
1605,228922.23
1606,153852.2
1607,172180.3
1608,228048.33
1609,192712.17
1610,169731.39
1611,146321.92
1612,188277.27
1613,173861.6
1614,117945.68
1615,85084.945
1616,64971.812
1617,79125.74
1618,137335.73
1619,152193.0
1620,170902.03
1621,131258.73
1622,152583.75
1623,239773.3
1624,211668.58
1625,112528.375
1626,177071.31
1627,191692.53
1628,263833.78
1629,177008.27
1630,327904.9
1631,268591.38
1632,252692.92
1633,182821.27
1634,192145.55
1635,181304.2
1636,155384.98
1637,197525.53
1638,186815.55
1639,182144.98
1640,227071.52
1641,179074.3
1642,266250.03
1643,224714.23
1644,230512.39
1645,219731.52
1646,160847.34
1647,158399.3
1648,137654.84
1649,147864.14
1650,121317.64
1651,117519.76
1652,102194.69
1653,102015.73
1654,149272.08
1655,120522.836
1656,151837.39
1657,157751.08
1658,165578.52
1659,114562.03
1660,165318.52
1661,399845.22
1662,351752.78
1663,349986.72
1664,462855.03
1665,313025.8
1666,317756.62
1667,360665.16
1668,336082.16
1669,312001.78
1670,335353.6
1671,276600.12
1672,368738.1
1673,297686.53
1674,256327.98
1675,214769.36
1676,217044.08
1677,224628.61
1678,419433.88
1679,370634.66
1680,309438.22
1681,261492.42
1682,323360.66
1683,205270.16
1684,181382.27
1685,183952.08
1686,170446.27
1687,169005.08
1688,194250.53
1689,194930.42
1690,199667.0
1691,197500.42
1692,240810.31
1693,174875.98
1694,188077.03
1695,165484.83
1696,265298.22
1697,169248.92
1698,327418.03
1699,320784.1
1700,282186.78
1701,285948.72
1702,242350.23
1703,251634.11
1704,264275.7
1705,261821.27
1706,321094.66
1707,218656.62
1708,205038.56
1709,245700.14
1710,223560.45
1711,270167.53
1712,246166.39
1713,261298.92
1714,212763.58
1715,216032.83
1716,184217.47
1717,192637.72
1718,144766.73
1719,227491.53
1720,246074.8
1721,160199.02
1722,121045.66
1723,155696.4
1724,206893.86
1725,242147.77
1726,195829.08
1727,146374.34
1728,176895.77
1729,173087.97
1730,150992.39
1731,104423.82
1732,137794.14
1733,108515.26
1734,127072.914
1735,114082.79
1736,94698.52
1737,280454.53
1738,267062.25
1739,242766.83
1740,218480.83
1741,195863.27
1742,178275.55
1743,173346.98
1744,314514.44
1745,234680.64
1746,183914.61
1747,221288.52
1748,223221.1
1749,151561.19
1750,129134.875
1751,240451.5
1752,115765.32
1753,160634.56
1754,194297.77
1755,167010.48
1756,129945.51
1757,120898.76
1758,152182.36
1759,156820.31
1760,179366.8
1761,158462.14
1762,189162.14
1763,187705.66
1764,111074.164
1765,144924.08
1766,187427.4
1767,203190.88
1768,146204.08
1769,161851.95
1770,163391.36
1771,123091.37
1772,127765.75
1773,132367.39
1774,154492.0
1775,144950.98
1776,130012.305
1777,114651.85
1778,147895.66
1779,141310.83
1780,161158.98
1781,121689.93
1782,76826.23
1783,145636.36
1784,109943.62
1785,124459.07
1786,156860.9
1787,155951.08
1788,54582.13
1789,94658.73
1790,86116.125
1791,199734.81
1792,157361.75
